Braun Etelka;mindig;IT;kártya vagy pin
Faragó László;munkaidő;Alkalmazott;kártya
Horkai Géza;munkaidő;Takarítók;kártya
Kádár Attila;munkaidő;Takarítók;kártya 
Kelemen Lehel;munkaidő;HR;kártya
Latorczai Attila;munkaidő;Alkalmazott;kártya
Máté Tibor;munkaidő;IT;kártya vagy pin
Verpeléti Géza;munkaidő;HR;kártya
Boros Anikó;munkaidő;IT;kártya vagy pin
Halmos Lehel;mindig;Osztáyvezetõk;kártya és pin
Horkai Attila;mindig;Osztáyvezetõk;kártya és pin
Kalas Péter;mindig;Osztáyvezetõk;kártya és pin
Salamon Bálint;munkaidő;Alkalmazott;kártya
Szabó Bálint;munkaidő;Takarítók;kártya
Zoltai Mariann;mindig;Osztályvezetõk;kártya és pin
